domain	phylum	class	order	family	genus	otu.id
OTU_146	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillales_Incertae_Sedis_XII	g:Exiguobacterium	OTU_146
OTU_147	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_147
OTU_148	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Marmoricola	OTU_148
OTU_152	NA	NA	NA	NA	NA	NA	OTU_152
OTU_153	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	g:Pseudolabrys	OTU_153
OTU_154	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_154
OTU_155	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_155
OTU_156	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	OTU_156
OTU_157	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	NA	OTU_157
OTU_159	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Micropepsales	f:Micropepsaceae	g:Rhizomicrobium	OTU_159
OTU_160	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_160
OTU_161	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Microbacterium	OTU_161
OTU_162	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_162
OTU_163	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Bacillaceae_1	g:Bacillus	OTU_163
OTU_164	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_164
OTU_165	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_165
OTU_166	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_166
OTU_167	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	NA	OTU_167
OTU_168	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_168
OTU_170	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptosporangiales	f:Thermomonosporaceae	NA	OTU_170
OTU_171	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	OTU_171
OTU_174	d:Bacteria	NA	NA	NA	NA	NA	OTU_174
OTU_176	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Xanthomonadales	f:Xanthomonadaceae	g:Stenotrophomonas	OTU_176
OTU_178	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacterales	f:Morganellaceae	g:Arsenophonus	OTU_178
OTU_179	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	OTU_179
OTU_182	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	NA	OTU_182
OTU_183	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Aeromicrobium	OTU_183
OTU_184	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	OTU_184
OTU_185	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Aeromonadales	f:Aeromonadaceae	g:Pseudaeromonas	OTU_185
OTU_186	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Spirosoma	OTU_186
OTU_187	NA	NA	NA	NA	NA	NA	OTU_187
OTU_188	d:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	NA	NA	OTU_188
OTU_189	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Frankiales	f:Frankiaceae	g:Jatrophihabitans	OTU_189
OTU_190	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	NA	NA	NA	OTU_190
OTU_191	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Mucilaginibacter	OTU_191
OTU_193	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	NA	OTU_193
OTU_194	d:Bacteria	p:Actinobacteria	c:Rubrobacteria	o:Rubrobacterales	f:Rubrobacteraceae	g:Rubrobacter	OTU_194
OTU_196	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_196
OTU_197	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	OTU_197
OTU_201	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	NA	OTU_201
OTU_202	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Pseudomonadales	f:Pseudomonadaceae	g:Pseudomonas	OTU_202
OTU_205	d:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Hymenobacteraceae	g:Hymenobacter	OTU_205
OTU_206	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp1	g:Gp1	NA	NA	OTU_206
OTU_207	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Segetibacter	OTU_207
OTU_208	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp16	g:Gp16	NA	NA	OTU_208
OTU_209	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	g:Terrabacter	OTU_209
OTU_210	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Amnibacterium	OTU_210
OTU_212	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	NA	NA	OTU_212
OTU_213	NA	NA	NA	NA	NA	NA	OTU_213
OTU_214	d:Bacteria	p:Proteobacteria	NA	NA	NA	NA	OTU_214
OTU_215	d:Bacteria	p:Firmicutes	c:Bacilli	o:Lactobacillales	f:Streptococcaceae	g:Streptococcus	OTU_215
OTU_216	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp16	g:Gp16	NA	NA	OTU_216
OTU_219	d:Bacteria	NA	NA	NA	NA	NA	OTU_219
OTU_220	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_220
OTU_221	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_221
OTU_222	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	g:Microbacterium	OTU_222
OTU_223	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Nevskiales	f:Steroidobacteraceae	g:Povalibacter	OTU_223
OTU_224	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Gordoniaceae	g:Williamsia	OTU_224
OTU_225	d:Bacteria	p:Chloroflexi	c:Ktedonobacteria	o:Ktedonobacterales	NA	NA	OTU_225
OTU_226	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	NA	NA	OTU_226
OTU_229	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Intrasporangiaceae	NA	OTU_229
OTU_230	d:Bacteria	p:Acidobacteria	c:Acidobacteria_Gp4	g:Gp4	NA	NA	OTU_230
OTU_233	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae_2	g:Ammoniphilus	OTU_233
OTU_234	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_234
OTU_235	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Kribbellaceae	g:Kribbella	OTU_235
OTU_236	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Flavisolibacter	OTU_236
OTU_237	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	OTU_237
OTU_239	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_239
OTU_241	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	NA	NA	NA	OTU_241
OTU_242	d:Bacteria	p:Bacteroidetes	c:Chitinophagia	o:Chitinophagales	f:Chitinophagaceae	g:Ilyomonas	OTU_242
OTU_243	d:Bacteria	NA	NA	NA	NA	NA	OTU_243
OTU_246	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacterales	f:Enterobacteriaceae	g:Kosakonia	OTU_246
OTU_247	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	g:Actinoplanes	OTU_247
OTU_250	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Brevundimonas	OTU_250
OTU_251	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodospirillales	f:Azospirillaceae	g:Skermanella	OTU_251
OTU_252	d:Bacteria	p:Actinobacteria	c:Actinobacteria	NA	NA	NA	OTU_252
OTU_253	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Gaiellales	f:Gaiellaceae	g:Gaiella	OTU_253
OTU_254	d:Bacteria	p:Actinobacteria	c:Thermoleophilia	o:Solirubrobacterales	f:Solirubrobacteraceae	g:Solirubrobacter	OTU_254
OTU_256	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Nocardiaceae	g:Rhodococcus	OTU_256
OTU_258	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Rhizobiaceae	g:Rhizobium	OTU_258
OTU_260	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Micrococcaceae	g:Micrococcus	OTU_260
OTU_261	d:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Cellvibrionales	f:Cellvibrionaceae	g:Cellvibrio	OTU_261
OTU_262	d:Bacteria	p:Chloroflexi	c:Thermomicrobia	o:Sphaerobacterales	f:Sphaerobacteraceae	NA	OTU_262
OTU_263	d:Bacteria	p:Proteobacteria	NA	NA	NA	NA	OTU_263
OTU_264	d:Bacteria	p:Actinobacteria	NA	NA	NA	NA	OTU_264
OTU_265	d:Bacteria	p:Firmicutes	c:Bacilli	o:Bacillales	f:Paenibacillaceae_1	g:Saccharibacillus	OTU_265
OTU_266	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Geodermatophilales	f:Geodermatophilaceae	NA	OTU_266
OTU_267	d:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Herbaspirillum	OTU_267
OTU_269	d:Bacteria	p:Bacteroidetes	c:Sphingobacteriia	o:Sphingobacteriales	f:Sphingobacteriaceae	g:Pedobacter	OTU_269
OTU_270	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_270
OTU_271	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Propionibacteriales	f:Nocardioidaceae	g:Nocardioides	OTU_271
OTU_272	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	g:Streptomyces	OTU_272
OTU_275	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodobacterales	f:Rhodobacteraceae	g:Paracoccus	OTU_275
OTU_278	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_278
OTU_279	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Mycobacteriaceae	g:Mycobacterium	OTU_279
OTU_280	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micromonosporales	f:Micromonosporaceae	NA	OTU_280
OTU_283	d:Bacteria	p:Proteobacteria	c:Deltaproteobacteria	o:Myxococcales	f:Cystobacteraceae	g:Cystobacter	OTU_283
OTU_284	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Micrococcales	f:Microbacteriaceae	NA	OTU_284
OTU_286	d:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhodobacterales	f:Rhodobacteraceae	g:Rubellimicrobium	OTU_286
OTU_288	d:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Mycobacteriales	f:Gordoniaceae	g:Gordonia	OTU_288
